,Unnamed: 0,Date,Suburb,Postcode,Distance,Type,Rooms,Price,Bedroom,Bathroom,Car,Landsize,Latitude,Longtitude
48233,1,1480683600.0,Abbotsford,3067,2.5,h,2,1480000,2.0,1.0,1.0,202.0,-37.7996,144.9984
48234,2,1454504400.0,Abbotsford,3067,2.5,h,2,1035000,2.0,1.0,0.0,156.0,-37.8079,144.9934
48235,4,1488546000.0,Abbotsford,3067,2.5,h,3,1465000,3.0,2.0,0.0,134.0,-37.8093,144.9944
48236,5,1488546000.0,Abbotsford,3067,2.5,h,3,850000,3.0,2.0,1.0,94.0,-37.7969,144.9969
48237,6,1464962400.0,Abbotsford,3067,2.5,h,4,1600000,3.0,1.0,2.0,120.0,-37.8072,144.9941
48238,10,1462543200.0,Abbotsford,3067,2.5,h,2,941000,2.0,1.0,0.0,181.0,-37.8041,144.9953
48239,11,1462543200.0,Abbotsford,3067,2.5,h,3,1876000,4.0,2.0,0.0,245.0,-37.8024,144.9993
48240,14,1475845200.0,Abbotsford,3067,2.5,h,2,1636000,2.0,1.0,2.0,256.0,-37.806,144.9954
48241,17,1475845200.0,Abbotsford,3067,2.5,u,1,300000,1.0,1.0,1.0,0.0,-37.8008,144.9973
48242,18,1475845200.0,Abbotsford,3067,2.5,h,2,1097000,3.0,1.0,2.0,220.0,-37.801,144.9989
48243,23,1478869200.0,Abbotsford,3067,2.5,u,2,700000,2.0,2.0,1.0,0.0,-37.811,145.0067
48244,24,1478869200.0,Abbotsford,3067,2.5,h,3,1350000,3.0,2.0,2.0,214.0,-37.8085,144.9964
48245,25,1478869200.0,Abbotsford,3067,2.5,u,2,750000,2.0,2.0,1.0,0.0,-37.8078,144.9965
48246,28,1471010400.0,Abbotsford,3067,2.5,h,2,1172500,2.0,1.0,1.0,195.0,-37.8084,144.9973
48247,29,1463148000.0,Abbotsford,3067,2.5,u,1,441000,1.0,1.0,1.0,0.0,-37.8016,144.9988
48248,30,1476450000.0,Abbotsford,3067,2.5,h,2,1310000,2.0,1.0,2.0,238.0,-37.809,144.9976
48249,32,1468591200.0,Abbotsford,3067,2.5,h,3,1200000,3.0,2.0,1.0,113.0,-37.8056,144.993
48250,35,1468591200.0,Abbotsford,3067,2.5,h,3,1176500,2.0,1.0,1.0,138.0,-37.8021,144.9965
48251,36,1474034400.0,Abbotsford,3067,2.5,h,3,955000,3.0,1.0,0.0,183.0,-37.8022,144.9975
48252,37,1474034400.0,Abbotsford,3067,2.5,h,2,890000,2.0,1.0,1.0,150.0,-37.8011,145.0004
48253,38,1489755600.0,Abbotsford,3067,2.5,h,4,1330000,4.0,2.0,2.0,780.0,-37.8073,144.9952
48254,40,1489755600.0,Abbotsford,3067,2.5,t,3,900000,3.0,2.0,2.0,0.0,-37.8093,144.9959
48255,41,1489755600.0,Abbotsford,3067,2.5,u,3,1090000,3.0,2.0,2.0,4290.0,-37.8078,144.9965
48256,42,1466172000.0,Abbotsford,3067,2.5,u,2,500000,2.0,1.0,1.0,0.0,-37.8015,144.9972
48257,43,1466172000.0,Abbotsford,3067,2.5,h,2,1100000,2.0,2.0,1.0,124.0,-37.8079,144.9977
48258,44,1479474000.0,Abbotsford,3067,2.5,h,2,1315000,2.0,1.0,0.0,147.0,-37.808,144.994
48259,48,1471788000.0,Abbotsford,3067,2.5,u,1,426000,1.0,1.0,1.0,0.0,-37.8016,144.9988
48260,49,1471788000.0,Abbotsford,3067,2.5,h,3,1447500,3.0,3.0,1.0,166.0,-37.8017,145.0001
48261,50,1471788000.0,Abbotsford,3067,2.5,u,1,457000,1.0,1.0,1.0,0.0,-37.8078,144.9965
48262,51,1471788000.0,Abbotsford,3067,2.5,h,2,1135000,2.0,2.0,2.0,98.0,-37.8005,144.9952
48263,53,1474639200.0,Abbotsford,3067,2.5,h,4,1542000,4.0,3.0,1.0,0.0,-37.7994,144.9965
48264,55,1487941200.0,Abbotsford,3067,2.5,h,3,1290000,3.0,2.0,2.0,147.0,-37.805,144.9943
48265,56,1487941200.0,Abbotsford,3067,2.5,h,3,1290000,3.0,1.0,1.0,168.0,-37.8007,144.9958
48266,57,1469455200.0,Abbotsford,3067,2.5,u,1,470000,1.0,1.0,1.0,0.0,-37.8055,144.9961
48267,58,1480165200.0,Abbotsford,3067,2.5,h,2,1180000,2.0,1.0,0.0,162.0,-37.8016,144.9956
48268,59,1480165200.0,Abbotsford,3067,2.5,h,3,1195000,3.0,2.0,1.0,120.0,-37.8022,144.9954
